English,中文
"You may not control all the events that happen to you, but you can decide not to be reduced by them. —Maya Angelou",你可能无法控制发生在你身上的所有事情，但你可以决定不被它们所影响。——玛雅·安吉罗
Life is a succession of lessons which must be lived to be understood. —Ralph Waldo Emerson,生活是一连串的教训，只有亲身经历才能领悟。——拉尔夫·沃尔多·爱默生
"Dreaming, after all, is a form of planning. —Gloria Steinem",毕竟，梦想是一种计划。——格洛丽亚·斯泰纳姆
We become what we think about most of the time. —Earl Nightingale,大多数时候，我们会变成我们想成为的样子。——厄尔·南丁格尔
"Life is very interesting…in the end, some of your greatest pains become your greatest strengths. —Drew Barrymore",生活非常有趣……最终，你最大的痛苦会变成你最大的力量。——德鲁·巴里摩尔
Life is a daring adventure or it is nothing at all. —Helen Keller,生活是一场大胆的冒险，否则就什么都不是。——海伦·凯勒
All dreams are within reach. All you have to do is keep moving towards them. —Viola Davis,所有梦想都触手可及。你所要做的就是继续朝着梦想前进。——维奥拉·戴维斯
Life is made of ever so many partings welded together. —Charles Dickens,生活是由无数的离别焊接在一起的。——查尔斯·狄更斯
My interest is in the future because I am going to spend the rest of my life there. —Charles Kettering,我的兴趣在于未来，因为我将在那里度过余生。——查尔斯·凯特林
Life is what happens to you when you are busy making other plans. —John Lennon,生活就是当你忙于制定其他计划时发生的事情。——约翰·列侬
Yesterday is but today’s memory and tomorrow is today’s dream. —Khalil Gibran,昨天只是今天的回忆，而明天只是今天的梦想。——哈利勒·纪伯伦
It’s amazing how a little tomorrow can make up for a whole lot of yesterday. —John Guare,令人惊奇的是，一点点明天就能弥补很多昨天。——约翰·瓜尔
Success is falling nine times and getting up 10. —Jon Bon Jovi,成功就是跌倒九次，然后站起来十次。——乔恩·邦·乔维
Start where you are. Use what you have. Do what you can. —Arthur Ashe,从你所在的地方开始。利用你所拥有的。尽你所能。——阿瑟·阿什
Success is stumbling from failure to failure with no loss of enthusiasm. —Winston Churchill,成功就是在一次次失败中跌跌撞撞，却依然热情不减。——温斯顿·丘吉尔
"Before anything else, preparation is the key to success. —Alexander Graham Bell",最重要的是，准备是成功的关键。——亚历山大·格雷厄姆·贝尔
Ambition is the path to success. Persistence is the vehicle you arrive in. —Bill Bradley,雄心是通往成功的道路。坚持是通往成功的工具。——比尔·布拉德利
If you don’t have any shadows you’re not in the light. —Lady Gaga,如果你没有阴影，你就不在光明中。——Lady Gaga
There are no regrets in life. Just lessons. —Jennifer Aniston,人生没有遗憾，只有教训。——詹妮弗·安妮斯顿
Coming together is a beginning; keeping together is progress; working together is success. —Henry Ford,团结是开始；团结是进步；共同努力就是成功。——亨利·福特
"If you have knowledge, let others light their candles in it. —Margaret Fuller",如果你有知识，就让别人用知识点燃他们的蜡烛。——玛格丽特·富勒
A person who never made a mistake never tried anything new. —Albert Einstein,一个从未犯过错误的人永远不会尝试任何新事物。——阿尔伯特·爱因斯坦
How dare you settle for less when the world made it so easy for you to be remarkable? —Seth Godin,当世界让你如此轻易地变得卓越时，你怎么敢满足于现状？——塞斯·戈丁
Challenges are what make life interesting and overcoming them is what makes life meaningful. —Joshua J. Marine,挑战让生活变得有趣，克服挑战让生活变得有意义。——Joshua J. Marine
We cannot solve problems with the kind of thinking we employed when we came up with them. —Albert Einstein,我们无法用我们遇到问题时的思维方式来解决问题。——阿尔伯特·爱因斯坦
It’s always better to shock people and change people’s expectations than to give them exactly what they think you can do. —Jonah Hill,让人们震惊并改变他们的期望总是比让他们知道你能做到的事情更好。——乔纳·希尔
"And when you want something, all the universe conspires in helping you achieve it. —Paulo Coelho",当你想要某样东西时，整个宇宙都会合力帮助你实现它。——保罗·科埃略
Don’t judge each day by the harvest you reap but by the seeds that you plant. —Robert Louis Stevenson,不要根据你收获的成果来判断每一天，而要根据你种下的种子来判断。——罗伯特·路易斯·史蒂文森
It is better to fail in originality than to succeed in imitation. —Herman Melville,原创失败总比模仿成功要好。——赫尔曼·梅尔维尔
"Don’t worry about failure, you only have to be right once. —Drew Houston",不要担心失败，你只需要成功一次。——德鲁·休斯顿
"Experience is a hard teacher because she gives the test first, the lesson afterwards. —Vernon Sanders Law",经验是一位严厉的老师，因为她先考试，然后再传授知识。——弗农·桑德斯·劳
Dream big and dare to fail. —Norman Vaughan,敢于梦想，敢于失败。——诺曼·沃恩
"Be sure you put your feet in the right place, then stand firm. —Abraham Lincoln",确保你的脚踏实地，然后站稳脚跟。——亚伯拉罕·林肯
I’m not going to continue knocking on that old door that doesn’t open for me. I’m going to create my own door and walk through that. —W.P. Kinsella,我不会继续敲那扇不为我打开的旧门。我要创造自己的门，然后走进去。——WP Kinsella
"For the great doesn’t happen through impulse alone, and is a succession of little things that are brought together. —Vincent Van Gogh",伟大的事情不会单凭冲动而发生，而是由一系列小事情汇集而成的。——文森特·梵高
Life is a succession of lessons which must be lived to be understood. —Ralph Waldo Emerson,生活是一连串的教训，只有亲身经历才能领悟。——拉尔夫·沃尔多·爱默生
It’s a good place when all you have is hope and not expectations. —Danny Boyle,当你只有希望而不是期望时，这是一个好地方。——丹尼·博伊尔
Many of life’s failures are people who did not realize how close they were to success when they gave up. —Thomas A. Edison,生活中许多失败者放弃的时候并没有意识到自己距离成功有多近。——托马斯·爱迪生
Never let the fear of striking out keep you from playing the game. —Babe Ruth,永远不要因为害怕被三振出局而放弃比赛。——贝比·鲁斯
"If you live long enough, you’ll make mistakes. But if you learn from them, you’ll be a better person. —Bill Clinton",如果你活得足够长，你就会犯错误。但如果你从中吸取教训，你就会成为一个更好的人。——比尔·克林顿
"To succeed in life, you need three things: a wishbone, a backbone, and a funnybone. —Reba McEntire",要想在生活中取得成功，你需要三样东西：愿望骨、骨干和幽默感。——Reba McEntire
You have succeeded in life when all you really want is only what you really need. —Vernon Howard,当你真正想要的只是你真正需要的东西时，你就成功了。——弗农·霍华德
"Living might mean taking chances, but they’re worth taking. —Lee Ann Womack",活着可能意味着要冒险，但这些冒险是值得的。——Lee Ann Womack
"The simple things are also the most extraordinary things, and only the wise can see them. —Paulo Coelho",简单的事物也是最不寻常的事物，只有智者才能看到它们。——保罗·科埃略
"Live in the sunshine, swim the sea, drink the wild air. —Ralph Waldo Emerson",生活在阳光下，在大海里游泳，呼吸野外的空气。——拉尔夫·沃尔多·爱默生
"There is no perfection, only life. —Milan Kundera",没有完美，只有生命。——米兰昆德拉
I go to seek a Great Perhaps. —François Rabelais,我去寻找一个伟大的也许。——弗朗索瓦·拉伯雷
"My wish for you is that you continue. Continue to be who you are, to astonish a mean world with your acts of kindness. —Maya Angelou",我希望你能坚持下去。坚持做你自己，用你的善举震惊这个卑鄙的世界。——玛雅·安吉罗
The art of life is to know how to enjoy a little and to endure very much. —William Hazlitt,生活的艺术在于懂得享受一点点，同时又能忍耐很多。——威廉·哈兹利特
"You only live once, but if you do it right, once is enough. —Mae West",生命只有一次，但如果你活得正确，一次就足够了。——梅·韦斯特
There is no passion to be found playing small—in settling for a life that is less than the one you are capable of living. —Nelson Mandela,如果你满足于比你能力所及更低的生活水平，你就无法找到激情。——纳尔逊·曼德拉
"The purpose of life is to live it, to taste experience to the utmost, to reach out eagerly and without fear for newer and richer experience. —Eleanor Roosevelt",生活的意义在于活下去，尽情享受体验，热切地、无所畏惧地寻求更新、更丰富的体验。——埃莉诺·罗斯福
The great courageous act that we must all do is to have the courage to step out of our history and past so that we can live our dreams. —Oprah Winfrey,我们所有人都必须采取的伟大勇敢行动是勇敢地走出我们的历史和过去，这样我们才能实现我们的梦想。——奥普拉·温弗瑞
Life isn’t about finding yourself. Life is about creating yourself. —George Bernard Shaw,生活不是寻找自我，而是创造自我。——萧伯纳
"If you love life, don’t waste time, for time is what life is made up of. —Bruce Lee",如果你热爱生命，就不要浪费时间，因为生命是由时间组成的。——李小龙
"We are here to add what we can to life, not to get what we can from life. —William Osler",我们活着是为了给生活增添我们所能增添的东西，而不是为了从生活中得到我们所能得到的东西。——威廉·奥斯勒
Be where you are; otherwise you will miss your life. — Buddha,留在原地，否则你将错过你的生命。——佛陀
The purpose of life is a life of purpose. —Robert Byrne,人生的目的是有目的的人生。——罗伯特·伯恩
We pass through this world but once. —Stephen Jay Gould,我们一生只活一次。——斯蒂芬·杰伊·古尔德
"Life isn’t a matter of milestones, but of moments. —Rose Kennedy",人生不在于里程碑，而在于瞬间。——罗斯·肯尼迪
One of the deep secrets of life is that all that is really worth the doing is what we do for others. —Lewis Carroll,人生的一个深层秘密是，所有真正值得做的事，都是我们为他人做的事。——刘易斯·卡罗尔
"Life is tough my darling, but so are you. —Stephanie Bennett Henry",亲爱的，生活很艰难，但你也一样。——斯蒂芬妮·贝内特·亨利
"There’s love enough in this world for everybody, if people will just look. —Kurt Vonnegut",只要人们愿意去寻找，这个世界上就有足够的爱给每个人。——库尔特·冯内古特
"Whatever we are, whatever we make of ourselves, is all we will ever have—and that, in its profound simplicity, is the meaning of life. ―Philip Appleman",无论我们是什么，无论我们把自己变成什么样，我们都会拥有一切——而这，从深奥的简单性上来说，就是生命的意义。 ——菲利普·阿普尔曼
"In the long run, the sharpest weapon of all is a kind and gentle spirit. —Anne Frank",从长远来看，最锋利的武器是善良和温柔的精神。——安妮·弗兰克
"Living an experience, a particular fate, is accepting it fully. —Albert Camus",经历一段经历，一个特定的命运，就是完全接受它。——阿尔伯特·加缪
"So, what if, instead of thinking about solving your whole life, you just think about adding additional good things. One at a time. Just let your pile of good things grow. —Rainbow Rowell",那么，如果你不去想着解决你的整个人生问题，而是只想着增加更多美好的事物，那会怎样呢？一次增加一件。让你的美好事物越积越多。——Rainbow Rowell
"Life isn’t about waiting for the storm to pass, it’s about learning to dance in the rain. —Vivian Greene",生活不是等待暴风雨过去，而是学会在雨中跳舞。——薇薇安·格林
"The new dawn blooms as we free it. For there is always light if only we’re brave enough to see it, if only we’re brave enough to be it. —Amanda Gorman",当我们释放它时，新的黎明就会绽放。只要我们有足够的勇气去发现它，只要我们有足够的勇气去成为它，光明就会一直存在。——阿曼达·戈尔曼
"There is not one big cosmic meaning for all; there is only the meaning we each give to our life, an individual meaning, an individual plot, like an individual novel, a book for each person. —Anais Nin",对于所有人而言，没有一个宇宙意义；只有我们每个人赋予生命的意义，一个个体的意义，一个个体的情节，就像一部个体的小说，一本属于每个人的书。——阿纳伊斯·宁
"The mystery of life isn’t a problem to solve, but a reality to experience. —Frank Herbert",生命的奥秘不是一个需要解决的问题，而是一个需要体验的现实。——弗兰克·赫伯特
To love oneself is the beginning of a lifelong romance. —Oscar Wilde,爱自己是终生浪漫的开始。——奥斯卡·王尔德
